timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-09-17T09:44	baseline	prompt-forge	-	77.9	baseline	-	dim4=3 dim3=7 dim8=8；baseline判断力已强，skill增量在流程可审计性	full_test
2026-09-17T09:46	b9945aa	prompt-forge	77.9	3-0 better	keep	dim4	4处显性检查点标记；3 judge盲评一致指向dim4、其余逐字相同	paired
2026-09-17T10:00	c1fa71b	prompt-forge	(绝对分仅triage)	3-0 better	keep	dim3	三段式fallback表；2clear+1slight	paired
2026-09-17T10:04	4397752	abstract-first-coder	(P0 runtime drift 已修)	-red-	keep	P0	description 含 Codex 限定，其他 runtime 会拒装；红灯扫描复验清零	grep
2026-09-17T10:04	99cb21b	abstract-first-coder	(绝对分仅triage)	3-0 better	keep	dim3	执行失败三段式表；3 judge 全 clear	paired
2026-09-17T10:04	074841e	initer	(绝对分仅triage)	3-0 better	keep	dim3	澄清循环停滞处理表；3 judge 全 clear	paired
2026-09-17T10:06	8e2c496	xm-chat	1624->1014 desc	3-0 better	keep	dim1	description 超 1024 且裸标量含 ": " 致 YAML 解析失败(第3行col910)；压缩至 1014，触发词0丢失；3 judge 全 clear	paired
2026-09-17T10:08	e2b6a93	xm-chat	(绝对分仅triage)	3-0 better	keep	dim3	异常处理7行三段式表；3 judge 全 clear 且全判非凑分；dim7 因一线修复列重复小幅受损	paired
2026-09-17T10:09	c956acc	xm-chat	(绝对分仅triage)	3-0 better	keep	dim4	4处检查点标记；3 judge 全判改后(slight/clear/slight)；三位一致指认 L109(第三次复述argv规则)与L228(逐字重述上方bullet)为凑分	paired
2026-09-17T10:09	6440f6d	xm-chat	标记4->2	3-0 better	keep	dim4	撤掉2处凑分标记(三位judge口径一致：重述上方规则、劈开反模式列表)；标记4->2且未丢安全内容；margin全slight触发HL-4退出	paired
2026-09-17T10:33	d1330cb	analyze-only	-	dim8 baseline	baseline	dim8	P1 3-0 with胜(clear×3)/P2 3-0 with胜(slight×3)；N=1每臂无法分离 skill 效应与 run 方差；沙盒隔离破(with臂读≥6个沙盒外文件, server.py/selfcheck_mcp.py/selfcheck.py/3×_ui.py)是P1区分度主因；只读边界守住(git status 除__pycache__外干净)；with输出为baseline的2.1×/2.4×且两位judge点名Report Structure进场段是脚手架；P1判者读真仓库复核~10处file:line(偏向可核查断言多的一份)	full_test
2026-09-17T10:33	245b67d	analyze-only	344->235行	3-0 worse	revert	dim7	三位judge独立收敛同一损失清单：全面性/证据充分性的强制分支、Low置信度先检索、WebFetch/web_search工具名、偷懒式分析 均真丢；judge口径矛盾(输出前自问同时被判FILLER与被判损失)=我引入的单向priming痕迹；改后架构更干净被三位共同承认	paired
2026-09-17T10:35	a17c509	analyze-only	344->250行	3-0 better	keep	dim7	judge独立收敛：改后把重复清单折进其执行处(检索→§4/§8、RIGOUR→闸门)，省下的篇幅用于净增约束(命中即重做/5条命名反模式/Unknown处置规则)；DROPPED仅剩Output前自问三问(三位均判不可证伪的FILLER)；网络检索要求 7次->2-4次	paired
2026-09-17T10:35	afb268c	analyze-only	(P0 runtime)	-red-	keep	P0	WebFetch 硬编码（本轮我自己写入的）-> 改为「所在环境的检索/抓取能力」；两条 regex 复验清零	grep
2026-09-17T10:35	afb268c	process-thinker	(P0 runtime)	-red-	keep	P0	「每节点至少1次WebSearch」是强制项且配了禁止无检索的硬约束，其他 runtime 无法满足 -> 改为联网检索；复验清零	grep
2026-09-17T10:35	afb268c	mission-spliter	(P0 runtime)	-red-	keep	P0	Task tool 硬编码 -> environment task tracker；复验清零	grep
